id_no2,latitud_no2,longitud_no2,id_trafico,distance_m,latitud_trafico,longitud_trafico
28079004,40.4238823,-3.7122567,4284,56.2,40.4241831207096,-3.71172367484345
28079004,40.4238823,-3.7122567,3732,68.5,40.423533047671,-3.7129232598234
28079004,40.4238823,-3.7122567,4286,73.1,40.4240440127435,-3.71141909341181
28079004,40.4238823,-3.7122567,4285,104.9,40.4231557451727,-3.71146594109062
28079004,40.4238823,-3.7122567,4283,132.7,40.4246828098882,-3.71109464253321
28079004,40.4238823,-3.7122567,10647,143.1,40.4238123428557,-3.71394452783198
28079004,40.4238823,-3.7122567,4353,155.4,40.4252782401398,-3.712351741331
28079004,40.4238823,-3.7122567,4313,169.5,40.4223757843166,-3.71256359193515
28079004,40.4238823,-3.7122567,10885,188.2,40.4222997950751,-3.71304584475727
28079004,40.4238823,-3.7122567,4333,191.6,40.4222081435995,-3.71279082933186
28079008,40.4215533,-3.6823158,4028,74.9,40.4221139181219,-3.68182562122249
28079008,40.4215533,-3.6823158,4026,84.0,40.4214198340098,-3.68133898135108
28079008,40.4215533,-3.6823158,4022,90.6,40.4213772110144,-3.68127128642535
28079008,40.4215533,-3.6823158,4027,101.5,40.4211446956205,-3.68338794361065
28079008,40.4215533,-3.6823158,4048,113.9,40.4210109627321,-3.68345711513287
28079011,40.4514734,-3.6773491,3914,52.3,40.4516185756358,-3.67676064970623
28079011,40.4514734,-3.6773491,3915,71.7,40.4508872358566,-3.67770082714543
28079011,40.4514734,-3.6773491,3917,78.1,40.4516966964374,-3.67822463792592
28079011,40.4514734,-3.6773491,3916,107.4,40.451633619947,-3.67860097177425
28079011,40.4514734,-3.6773491,5547,134.3,40.4526796801881,-3.67741563900904
28079011,40.4514734,-3.6773491,3910,140.8,40.4516655881381,-3.67570449112669
28079011,40.4514734,-3.6773491,3911,147.6,40.4501704343801,-3.67768229804357
28079011,40.4514734,-3.6773491,3913,181.6,40.453104617895,-3.67745115195773
28079016,40.4400457,-3.6392422,3791,79.9,40.4405226047242,-3.63994789300119
28079016,40.4400457,-3.6392422,5939,125.4,40.4389371274578,-3.63897226613014
28079035,40.4192091,-3.7031662,3731,26.8,40.4194498963901,-3.70317957240832
28079035,40.4192091,-3.7031662,4303,38.0,40.4194357358046,-3.7028295938213
28079035,40.4192091,-3.7031662,3730,132.5,40.4200202030484,-3.70201907619858
28079035,40.4192091,-3.7031662,4301,136.7,40.4202165739766,-3.70409218359025
28079036,40.4079517,-3.6453104,10890,30.4,40.4081736365861,-3.64510077897352
28079036,40.4079517,-3.6453104,6123,88.9,40.4084784641383,-3.64452027262807
28079036,40.4079517,-3.6453104,6116,93.3,40.4083855547511,-3.6462539603028
28079036,40.4079517,-3.6453104,6118,95.6,40.4072194749193,-3.64471797663109
28079036,40.4079517,-3.6453104,6119,110.2,40.407106637643,-3.64462933822596
28079036,40.4079517,-3.6453104,10889,153.3,40.407391660978,-3.64696497202386
28079038,40.4455439,-3.7071303,3411,68.0,40.4461188807384,-3.70740510632971
28079038,40.4455439,-3.7071303,4472,131.5,40.445108293294,-3.70857438248486
28079038,40.4455439,-3.7071303,3513,172.4,40.4470855771301,-3.70691484098346
28079039,40.4782322,-3.7115364,5416,49.0,40.4780456662083,-3.71101199771558
28079039,40.4782322,-3.7115364,5415,51.2,40.4779383477937,-3.71107000091051
28079039,40.4782322,-3.7115364,5422,86.8,40.4786427551278,-3.71240916413291
28079039,40.4782322,-3.7115364,4555,92.1,40.4775219272703,-3.71209722136739
28079039,40.4782322,-3.7115364,5421,96.7,40.4787020816619,-3.71249873478529
28079039,40.4782322,-3.7115364,5437,160.0,40.4768052772398,-3.71177818350562
28079039,40.4782322,-3.7115364,5414,160.2,40.4774352963977,-3.71311389969711
28079040,40.3881478,-3.6515286,5783,133.3,40.3879592288737,-3.65308299437178
28079040,40.3881478,-3.6515286,5784,167.1,40.3866710727946,-3.65189523617031
28079047,40.3980991,-3.6868138,4129,152.3,40.3992084753654,-3.68575842650291
28079047,40.3980991,-3.6868138,10814,164.4,40.3993269187829,-3.6878959883909
28079048,40.4398904,-3.6903729,4461,88.4,40.4398896571484,-3.69141780169892
28079048,40.4398904,-3.6903729,7071,98.6,40.4391964098335,-3.69109755848916
28079048,40.4398904,-3.6903729,4437,105.8,40.4390632069185,-3.6909904340241
28079048,40.4398904,-3.6903729,4469,122.5,40.4404373707206,-3.69162897118194
28079050,40.4655841,-3.6887449,5465,148.7,40.4642755614931,-3.68910979950553
28079050,40.4655841,-3.6887449,5515,158.8,40.4664223831062,-3.68722571069842
28079056,40.3850336,-3.7187679,11007,21.7,40.3852023701237,-3.7188973185191
28079056,40.3850336,-3.7187679,10848,53.4,40.384802190623,-3.71821572817584
28079056,40.3850336,-3.7187679,5090,87.0,40.384330623572,-3.71921936982991
28079056,40.3850336,-3.7187679,6822,92.1,40.384662039115,-3.71779613025652
28079056,40.3850336,-3.7187679,10580,92.3,40.3851876756656,-3.71983876166255
28079056,40.3850336,-3.7187679,10614,92.7,40.3858306457201,-3.71908857969092
28079056,40.3850336,-3.7187679,10250,95.3,40.3852010204591,-3.71987111234953
28079056,40.3850336,-3.7187679,6823,98.7,40.3846645982479,-3.71770869572132
28079056,40.3850336,-3.7187679,10332,108.2,40.3845570709114,-3.71765377606282
28079056,40.3850336,-3.7187679,5091,115.9,40.3842600078514,-3.71968446301129
28079056,40.3850336,-3.7187679,10982,118.3,40.3842627481373,-3.71973112926151
28079056,40.3850336,-3.7187679,10615,119.2,40.3858143970867,-3.71973235383172
28079056,40.3850336,-3.7187679,10849,147.7,40.3858188361418,-3.71736090674855
28079056,40.3850336,-3.7187679,11006,163.0,40.3859311946582,-3.71724694217
28079056,40.3850336,-3.7187679,10613,164.0,40.3864117502325,-3.71945781841679
28079056,40.3850336,-3.7187679,5084,170.1,40.3836334379485,-3.71795959865334
