epoch,nll_train,nll_val,kl,lr
1,2.651360694840238,1.3142641504185646,14.712419385409818,0.003
2,1.198481830880911,1.000584390946843,13.95765985186391,0.003
3,1.0554400173638612,1.0499417663652033,12.142856846583996,0.003
4,1.0416453457214472,0.9811427820219568,9.919789434505326,0.003
5,1.052489024823419,1.012914136142797,7.865557774645569,0.003
6,1.0647239706174247,1.0084766806016963,6.174733385110718,0.003
7,1.0758500046824298,1.0265358293545748,4.884999844562347,0.003
8,1.0877748523415207,1.066300166201291,3.955129584019877,0.003
9,1.099352350291553,1.062276935837148,3.2823944408264403,0.003
10,1.1093650607399776,1.186031436517776,2.779676193136144,0.003
11,1.1213671471751505,1.0571915364517908,2.391816749845095,0.003
12,1.1318680997998949,1.0941908010182007,2.081124747968059,0.003
13,1.1421944096320962,1.18631269143925,1.8281288607483452,0.003
14,1.151524672037985,1.1191751900979283,1.608497257479639,0.003
15,1.1644193707764616,1.1102205612152116,1.4350674966736292,0.003
16,1.1728690428909967,1.1355263165696992,1.2963195904663467,0.003
17,1.1799876788272419,1.1247492415238796,1.1882488581254376,0.003
18,1.1860148598641542,1.103847344691281,1.0942134703512143,0.003
19,1.1975627849046364,1.1521817563993553,1.019198560749469,0.003
20,1.200941762338885,1.192651105152557,0.9566528919190365,0.003
21,1.211300759332281,1.1654294566600112,0.9125181438221388,0.003
22,1.2156444985552644,1.1163941153078516,0.8696266828128991,0.003
23,1.2220186907260535,1.14824959290781,0.8269543638265284,0.003
24,1.2270177539597147,1.2355476693419203,0.7942271677345858,0.003
25,1.228180833257199,1.129708891132684,0.7691031387135722,0.003
26,1.233279042137553,1.159505733738364,0.7490994721285532,0.003
27,1.2363544832042495,1.263018323987852,0.7267907478900489,0.003
28,1.2412123626438705,1.2237401951902205,0.7107832571474846,0.003
29,1.2452028417731371,1.163926029819113,0.689659255386533,0.003
30,1.2508878040397795,1.1698154322710002,0.6738856739592779,0.003
31,1.2553208080461238,1.1791673007011558,0.6561405132762318,0.003
32,1.2611645002874026,1.2426519756375747,0.6431502652466299,0.003
33,1.2635708057335926,1.1911567631835907,0.6268707834923878,0.003
34,1.2651751832836313,1.1720875874378132,0.6140307299413668,0.003
35,1.2729556501549253,1.219888992300288,0.6020340912034898,0.003
36,1.2732735133961885,1.202269577472437,0.5929551623305558,0.003
37,1.2784363964175616,1.1742925440138001,0.5848422442925941,0.003
38,1.280302120838497,1.2053939302359393,0.5724183219825031,0.003
39,1.2857315401871325,1.2166098945653716,0.5604879878573856,0.003
40,1.2838838964176604,1.2844996590543802,0.5509568502119118,0.003
41,1.2852938074689444,1.227590262879535,0.5420843304813074,0.003
42,1.2975892715971569,1.1850022876278095,0.5374889503534872,0.003
43,1.2935237022339428,1.1978400088361085,0.5350834077279292,0.003
44,1.2901281659478552,1.2183259869468888,0.5286510451725359,0.003
45,1.3009566361492315,1.2834129224977113,0.5149698891985068,0.003
46,1.3025039547246222,1.1909627792788315,0.5127915187844228,0.003
47,1.299593691230206,1.1824441942712647,0.5109078625281823,0.003
48,1.3035295658275492,1.19333244712936,0.504475207493032,0.003
49,1.3067021002918981,1.2542472450388067,0.5040115012296594,0.003
50,1.3035933163895266,1.1881434166406764,0.498959140084489,0.003
51,1.3087169812506931,1.2758102287843425,0.498269969562349,0.003
52,1.3050595011931583,1.2762919136002906,0.49295728444361797,0.003
53,1.3117706356590009,1.2383235132717694,0.4875348551116291,0.003
54,1.310150375714364,1.2207778061020274,0.48709351108925364,0.003
55,1.3153531736827726,1.3158218251014902,0.4846986130084441,0.003
56,1.3185314330432687,1.261829814596315,0.4871720387743569,0.003
57,1.318987928529351,1.3552921229758181,0.48188104886549277,0.003
58,1.3188213967705469,1.1918875310116257,0.48193414562427256,0.003
59,1.3173097379138152,1.2224323164084043,0.4787524937921232,0.003
60,1.3220416139174098,1.2089588642254006,0.4755742279681471,0.0015
61,1.3094117288265963,1.226784912403839,0.46501587373445835,0.0015
62,1.3127581223507045,1.2516889603355519,0.46019071310400034,0.0015
63,1.3095454722233615,1.1952742588009895,0.4594743934390187,0.0015
64,1.3093465343481057,1.2287030743102452,0.45992198128021566,0.0015
65,1.3074466046105628,1.2605254848954035,0.46159790821133856,0.0015
66,1.3080961315564523,1.2937279691170727,0.4591435252375138,0.0015
67,1.3026350653279244,1.2942286221880135,0.45885175088417823,0.0015
68,1.3086059654789697,1.2405426832170676,0.45980542403424224,0.0015
69,1.3057715653442525,1.222694961638263,0.4595407113869579,0.0015
70,1.300913631853173,1.1855052874374747,0.4607098159197926,0.0015
71,1.304231953795619,1.2458966360978199,0.45986723578003746,0.0015
72,1.30530468722347,1.2557377213824,0.4630863943018283,0.0015
73,1.304035251272379,1.2313461550114142,0.46071254978713827,0.0015
74,1.3066678680558688,1.2511665627862572,0.4614443139228679,0.0015
75,1.3113103681145741,1.1774976949224067,0.461016867412642,0.0015
76,1.3023076012505608,1.2717981271666796,0.4614251560516783,0.0015
77,1.3061031015956146,1.2594648933066572,0.45994701704978624,0.0015
78,1.3054161133824322,1.185291154876253,0.4608957148948551,0.0015
79,1.3099931370893145,1.2042604239163208,0.4614052949927488,0.0015
80,1.3040570865872858,1.3265987563876058,0.46051611644779145,0.0015
81,1.3096223063321415,1.210294241499129,0.4599731274482239,0.0015
82,1.3085306501452212,1.1907361016672342,0.4616505536345474,0.0015
83,1.302166581864002,1.2056313957287583,0.4607146476091793,0.0015
84,1.3054039081375082,1.3293246796527232,0.4616479815777493,0.0015
85,1.3059273205872906,1.2416597758393662,0.4622447146171648,0.00075
86,1.2959610959142853,1.2535908020954827,0.4580004155574783,0.00075
87,1.2951289551675746,1.2224428395638205,0.455466157423354,0.00075
88,1.2948072213399906,1.2153482240312532,0.45408920284897936,0.00075
89,1.2984982411087345,1.1972468685987916,0.45484210413868936,0.00075
90,1.2929651032748493,1.2135749360570522,0.45517679397719624,0.00075
91,1.2956570491322825,1.1922708972215588,0.4549873941481274,0.00075
92,1.2923672182270483,1.2065828472005615,0.4539821608563141,0.00075
93,1.2958944926851075,1.2052813138218634,0.4542420578708567,0.00075
94,1.289066085035973,1.208063036678732,0.4535707134514521,0.00075
95,1.2989378379492111,1.2196106824492996,0.4539108747180674,0.00075
96,1.2937865460656262,1.2624961179662946,0.45433822916501204,0.00075
97,1.2974548939975432,1.1892962555241442,0.4541625489809003,0.00075
98,1.2965478316584322,1.277271310147793,0.45444410326030865,0.00075
99,1.294172214866046,1.2016739443930606,0.45358609976060016,0.00075
100,1.2929286297171971,1.2184281833301673,0.4545013043774508,0.00075
