,no2_value,intensidad,carga,ocupacion,d2m,t2m,ssr,ssrd,u10,v10,sp,tp,wind_speed,wind_direction_deg,wind_dir_sin,wind_dir_cos,wind_speed_ma3,wind_speed_ma6,wind_speed_ma24,t2m_ma6,t2m_ma24,d2m_ma6,d2m_ma24,sp_ma6,sp_ma24,sp_ma72,u10_ma6,u10_ma24,v10_ma6,v10_ma24,wind_speed_ewm3,t2m_ewm6,d2m_ewm6,sp_ewm12,u10_ewm6,v10_ewm6,ssr_sum24,ssrd_sum24,tp_sum6,tp_sum24,wind_dir_sin_ma6,wind_dir_sin_ma24,wind_dir_cos_ma6,wind_dir_cos_ma24,wind_dir_deg_ma6,wind_dir_deg_ma24,intensidad_lag1,intensidad_lag2,intensidad_lag3,intensidad_lag4,intensidad_lag6,intensidad_lag8,ocupacion_lag1,ocupacion_lag2,ocupacion_lag3,ocupacion_lag4,ocupacion_lag6,ocupacion_lag8,carga_lag1,carga_lag2,carga_lag3,carga_lag4,carga_lag6,carga_lag8
no2_value,1.0,0.22854287445342253,0.23783828022862258,0.2472108361919669,-0.10863310753535187,-0.14696389864724213,0.06194891264597375,0.06107313509315582,-0.2746431186007364,-0.14538763590117545,0.23994843226840648,-0.07866581585932746,-0.3380764426750479,-0.1517566345107874,0.22945458101477942,0.1416679739528239,-0.3380766131896438,-0.33896043062991854,-0.3759841715899191,-0.1471473653617698,-0.15082034073795594,-0.10877310540979998,-0.11787777895270711,0.23983616080920406,0.2337038389949324,0.22531201627502614,-0.27468181812748416,-0.2707968029598302,-0.14558755777591453,-0.15184141195426556,-0.3472810037347494,-0.14947072835617636,-0.11506198034679088,0.2320130065938139,-0.2738825049861867,-0.1496529696511912,0.06079046392670421,0.059496515946532755,-0.07780729468944353,-0.08809240065794573,0.22989114717823905,0.23262503258684,0.14209566927469613,0.1551781108325244,-0.15218646955425136,-0.14495032282518686,0.27767728560052535,0.2246395697487276,0.3294870843549944,0.30526144074352923,0.11557293340277462,0.3472308830796897,0.21928538673381082,0.18375922306000086,0.23489085477342317,0.2994188522630277,0.1774442048818369,0.26153323164051123,0.28401985057863777,0.23826937916170343,0.3459314350287813,0.293535907146294,0.14058530943267114,0.3386007217330219
intensidad,0.22854287445342253,1.0,0.988130950618839,0.9527587571707318,-0.03889225452228185,0.23362692368286705,0.47958473344269514,0.47837062451774315,0.14101384970007907,0.21003046504390133,-0.016982724161098577,0.21035048796626749,0.0993630690462831,0.10328543699217388,-0.07751948483962663,-0.23899476664923705,0.0993625460467506,0.09908291692404196,0.08666238219431047,0.2331582773629521,0.20537200800880342,-0.03888644266898561,-0.035359666351586626,-0.01700932740583881,-0.017768610272240148,0.0035143026299228057,0.14074742594111916,0.12256892570096535,0.20999647487793546,0.2053662105589121,0.09739313899965099,0.21419380265712798,-0.03630065125709493,-0.012363131381454798,0.12947526354889222,0.2076139695837891,0.29452274233034026,0.2927657710649312,0.2051766728249122,0.09598368840650953,-0.07691955046150865,-0.05237869354348402,-0.23903587134329626,-0.23471725517962705,0.10151225858679902,0.0671432677907792,0.656783573769501,0.5156326659223782,0.4993730863013941,0.4874408104178809,0.6364214547334869,0.6836818603915423,0.7807092243758453,0.7064882877499788,0.7512464326528117,0.6173049386079056,0.7349518224866048,0.6977598285262429,0.7669267270262881,0.6421573163168444,0.6212881804084089,0.5663873504564975,0.7095805350306061,0.711463573214242
carga,0.23783828022862258,0.988130950618839,1.0,0.9796120077514566,-0.03896276911176413,0.22345729137490006,0.46463042432098456,0.46355421891245785,0.14201353796260976,0.2105610581512674,-0.030452894199052057,0.20878330692218294,0.09627056267817614,0.10455066910366564,-0.0800517080874681,-0.2375295292626696,0.09627017540013616,0.09597000710085633,0.08330265794535802,0.22297082754801448,0.1949109570748827,-0.03893203174459252,-0.03510150895675184,-0.03047806368172061,-0.03147732581427165,-0.011151443890639713,0.14171624372656025,0.12320848989597934,0.21052217833263498,0.20546363906642895,0.0942046172919013,0.20388848533778473,-0.03616185934543276,-0.026363492394656296,0.13028817482314564,0.20794519811678272,0.280280454813055,0.2786817206616491,0.20380154142028561,0.09624740103764066,-0.07940899435919108,-0.05450018904779377,-0.2375900808467163,-0.23286721410060468,0.10278389504541928,0.06884848188919866,0.6615125998856906,0.5234514423707363,0.5230766941155441,0.5159839487066088,0.6111537064994177,0.6905745658740385,0.760238564633589,0.6911000798957005,0.7417015674042371,0.6320753438675254,0.7190037516959162,0.694018137169709,0.7634383333739444,0.6422855154486187,0.6401744613785145,0.585811478507831,0.6842444176116416,0.7184442709016189
ocupacion,0.2472108361919669,0.9527587571707318,0.9796120077514566,1.0,-0.0359219418266366,0.21775187430180046,0.4555028058167061,0.4546985941613458,0.14010872721062795,0.21101995975571344,-0.0494493863227467,0.2101342625771644,0.0947665556856205,0.10531993439010842,-0.0801905803251264,-0.2380814609244681,0.0947662612467688,0.09450270490527417,0.08233597398421075,0.21734030334323418,0.19181109608479824,-0.03586078226567024,-0.03187571029803935,-0.04948077287457622,-0.05068466824728959,-0.03250791816178202,0.1398426483518458,0.12244706377555796,0.21102223660258895,0.20758980361404655,0.09282668909511328,0.19998110817000656,-0.03303735944404172,-0.04620169762679002,0.12917973830091986,0.20963693366410807,0.2855199913266832,0.2842460907317406,0.20601825880646077,0.10674998259069016,-0.07959117526116986,-0.055466414984738005,-0.23824800670575275,-0.23564863424220062,0.10377698509723239,0.07222563863551565,0.6661853343733568,0.5287460069362314,0.5498917324780885,0.5477645525457798,0.5776214428902062,0.6895205693447923,0.7413550621471596,0.6702303785302433,0.72505007801174,0.642314199902125,0.6999200612855454,0.6900096787418577,0.751331252108134,0.631864237189629,0.6554693549975146,0.6013212763048579,0.6519331324707602,0.7172792435070326
d2m,-0.10863310753535187,-0.03889225452228185,-0.03896276911176413,-0.0359219418266366,1.0,0.5073166873145719,-0.03282867299394219,-0.031200674668426395,-0.06876343542259619,0.23115142091719312,-0.11079398657964981,0.17590856988883824,-0.0672083820286267,-0.05860941612600022,0.09905071246988467,-0.24146810790788864,-0.06720876100135606,-0.06738197880441807,-0.0682668733639496,0.507298606576005,0.5069027119501534,0.9999369534057798,0.9880847690795045,-0.1108024926761693,-0.11300677195581935,-0.1188096338549121,-0.06901302209886642,-0.07413251979130228,0.23120471130725065,0.22903903246559526,-0.06797463781000544,0.5102824020636731,0.9957526247420807,-0.1143019681620976,-0.07213495549319837,0.23287875781491477,-0.03214074274296809,-0.03026814142675816,0.176301393174314,0.18200238042733377,0.09925810291645601,0.10512257038201678,-0.2418540143715354,-0.24364024383782132,-0.05860226935598226,-0.05948227233284325,-0.09946205324737802,-0.07970783388866247,-0.11971489592886428,-0.10528081835657595,0.009623079750382298,-0.10858513116812024,-0.08587299603175208,0.03589500422904255,-0.02560980746556554,-0.11326991173974156,-0.013083024882731869,0.030120466508986705,-0.09820856918215147,-0.042845784323504145,-0.10512186256903307,-0.1063820586257619,-0.0026563321996061107,-0.05288642773151227
t2m,-0.14696389864724213,0.23362692368286705,0.22345729137490006,0.21775187430180046,0.5073166873145719,1.0,0.5254327164281222,0.5283042795107112,0.007161286278163122,0.22416212402446803,-0.15339574343278464,-0.11739409729035773,0.08541905214073343,0.034910153456142054,0.03263779004336703,-0.28416630788047575,0.08541856465835722,0.08492455114008324,0.06889197560530919,0.9999594328224815,0.9887269446504121,0.5076383116896306,0.520845846796791,-0.15314502424472123,-0.14299480051617988,-0.12065113555126342,0.006767222776352613,-0.012433409801130281,0.22434446627346133,0.22573639138585394,0.08275801537838334,0.9957416177363689,0.5179047077208818,-0.13833224944139455,-0.00553421792896821,0.22699467697909836,0.4900881721586668,0.4936591227436223,-0.11955350958112912,-0.16033749328634825,0.033181531919958214,0.06033128155575605,-0.2847140092325534,-0.28565962575796,0.034181626262106767,0.013926388840161032,0.17165231218469257,0.057957554311884554,0.055434239050422614,0.11584674028235085,0.18149578994858773,0.048068926274737765,0.1937273538889626,0.24585261329989297,0.17790412952788434,0.15130195540666663,0.21042845100857413,0.2161158028388304,0.20189150594237742,0.13905357613954597,0.10316767384164918,0.15605634049207867,0.19974407077639944,0.12262413915096958
ssr,0.06194891264597375,0.47958473344269514,0.46463042432098456,0.4555028058167061,-0.03282867299394219,0.5254327164281222,1.0,0.9998260632227869,0.1653537616105837,0.17003686112956987,-0.07973669737555343,0.19537745387606567,0.15010230036831093,0.16663773030443754,-0.13914116849942088,-0.20780518871662593,0.15010202844596732,0.15023860599642108,0.14939653429003863,0.5261120654832667,0.5470184541888281,-0.032861682924996596,-0.026047222578111314,-0.07972892525644606,-0.07779126117834237,-0.050568342677903985,0.16562397863365808,0.16479643547131095,0.1709622425360297,0.20906849868522703,0.15141970099197322,0.5380309229333373,-0.02773569141888832,-0.07144673789056803,0.16416332161899808,0.19482191220536854,0.8619424657625443,0.8614059109437573,0.18915400217587233,0.07537028742120558,-0.13899878641434707,-0.11871386218350995,-0.20909747585588984,-0.25129933854856,0.16589708530118666,0.14960558475654007,0.48206303045189564,0.2874060721093364,0.3143362042438469,0.3354043904190368,0.37955593339385235,0.39573016581172143,0.5307464167862341,0.3819395974904683,0.44381475664484976,0.416082592112757,0.42475631163641575,0.4216093764330638,0.5432237842308831,0.3537229135824297,0.3884576791399036,0.39458480189725337,0.4110904508288915,0.417667164399749
ssrd,0.06107313509315582,0.47837062451774315,0.46355421891245785,0.4546985941613458,-0.031200674668426395,0.5283042795107112,0.9998260632227869,1.0,0.16515775099507912,0.1706895229354837,-0.08102242787470693,0.19472123619503773,0.1501562225929905,0.16675222489095384,-0.1387865250013015,-0.2083983735833172,0.15015596284186963,0.15029020666105602,0.1492898259113893,0.5289775514766817,0.5495786389069546,-0.031229402189752262,-0.02422780821619642,-0.0810134366380374,-0.07903635284818714,-0.05191319109809757,0.16542059840715406,0.16432476218504866,0.17160875225500583,0.2094480451795644,0.15144455704828758,0.5407235052398243,-0.025980064987983695,-0.07272658567327403,0.16380434668337088,0.19531110008574742,0.8614239719758353,0.8612545084979545,0.18849684939403732,0.07466861259757042,-0.1386366274366818,-0.1181472098161353,-0.2096852818031314,-0.2516114516243345,0.16600277830557636,0.14966161894808688,0.4803205386608173,0.285906176303045,0.3141800989736903,0.33502683534196426,0.37830716656737884,0.39412583197525425,0.5291592834632253,0.3811100330220596,0.4425736277602015,0.41560965215612716,0.42382336702694734,0.4206908793140234,0.5414933084907538,0.3524306294918939,0.3880910755787767,0.3941229171690329,0.4100320098475046,0.41640343811220815
u10,-0.2746431186007364,0.14101384970007907,0.14201353796260976,0.14010872721062795,-0.06876343542259619,0.007161286278163122,0.1653537616105837,0.16515775099507912,1.0,0.5385941075826689,-0.31150570700572044,0.19394354052300683,0.2514925684398369,0.6863951854632727,-0.9146064976427638,-0.37297820251472036,0.25149190687520373,0.2513179372062932,0.24265763281007532,0.00734439361274668,0.016370258419319085,-0.06857558214256138,-0.05479225418238717,-0.3114221988171615,-0.3064057630145178,-0.28942417715869123,0.9998604302686662,0.9737675488159004,0.5397107004792057,0.5819021711986232,0.25120799332345733,0.011605390895897062,-0.060235189217993104,-0.30317589016524643,0.9910789560690609,0.5686752873878071,0.13610628900919916,0.13576492807071827,0.19298845421035318,0.17971218097836267,-0.914831655983977,-0.8957188258395191,-0.3750066865002818,-0.45015372777062473,0.6861424928865459,0.6535246189037329,0.13634272681195275,0.10027632435622678,0.08405190897415928,0.07719358113611909,0.1390575185356687,0.12514789983873645,0.1590350331820544,0.09196088878394149,0.14730557712939427,0.09993216441197363,0.139881200882478,0.1068289607126467,0.15429672061930644,0.1081461770835955,0.11038995608518082,0.08955279896754813,0.14410931403131777,0.12147460563715116
v10,-0.14538763590117545,0.21003046504390133,0.2105610581512674,0.21101995975571344,0.23115142091719312,0.22416212402446803,0.17003686112956987,0.1706895229354837,0.5385941075826689,1.0,-0.27644755526895853,0.25347404804375656,0.0831867190091828,0.2858843457243405,-0.3895388777173811,-0.871954756058223,0.08318614307148993,0.08294455869119136,0.0713685314755114,0.2239195675456564,0.2051316510847345,0.2312513453548256,0.2398399042204078,-0.2761624681311705,-0.26198103183744853,-0.2318443026592343,0.5378413172243227,0.5004234643233629,0.999851945213089,0.9699927490824267,0.08119467919122722,0.21188946019058433,0.23713991850917251,-0.256195779300141,0.518926469563876,0.9893739390496491,0.10017556715317853,0.10065322625614116,0.2519791203943646,0.2182387226731571,-0.3887769458528749,-0.35298535525969016,-0.8727942716700257,-0.874495696548009,0.2846982480945913,0.2452622408899916,0.18576457750085276,0.14865294020733147,0.12615341586149417,0.1166325505099223,0.17993833844985957,0.16684910633248387,0.2149850445563196,0.18400686562421917,0.22062249195032424,0.1500170743217734,0.20089198852846782,0.1750069027023079,0.21056049629108098,0.16858229306034575,0.16437109744570358,0.135297893266626,0.19309725643906256,0.1698507732250508
sp,0.23994843226840648,-0.016982724161098577,-0.030452894199052057,-0.0494493863227467,-0.11079398657964981,-0.15339574343278464,-0.07973669737555343,-0.08102242787470693,-0.31150570700572044,-0.27644755526895853,1.0,-0.30894916402257805,-0.31692947099586377,-0.20585049082150267,0.2572193908275359,0.25839145662564295,-0.31692969128287507,-0.31731566422112706,-0.3268573771349287,-0.15358581017829895,-0.16275695696768486,-0.11080086631344783,-0.11375373510617652,0.9999867234636683,0.9974807100262273,0.9833237463047385,-0.31168357002301106,-0.3157273334229435,-0.2768052601681677,-0.29449660810464423,-0.3206391484805189,-0.1598219764534468,-0.1131550913459418,0.9962122067841093,-0.31637974666278607,-0.29045486433443496,-0.09455968787150014,-0.09627349822982607,-0.3116210143024481,-0.3259799653424141,0.25741938176588786,0.26217992805503976,0.25948335585144733,0.2853780314348674,-0.20555490381536326,-0.2093628873492017,-0.21184298996373693,-0.22067813652480545,-0.23266969014747677,-0.15240710307135735,0.03328788141447254,-0.05905848023988683,-0.07565671264890207,-0.09436829965535444,-0.10240513507782713,-0.11672732228735704,-0.00914061124354485,-0.08418130856463532,-0.14831561032053642,-0.18425674558739122,-0.20895359563365656,-0.1116816651858443,0.021289758110307488,-0.0894098102670742
tp,-0.07866581585932746,0.21035048796626749,0.20878330692218294,0.2101342625771644,0.17590856988883824,-0.11739409729035773,0.19537745387606567,0.19472123619503773,0.19394354052300683,0.25347404804375656,-0.30894916402257805,1.0,0.2460785585594076,0.12538719316603708,-0.1387451005550107,-0.27140448462070516,0.24607885073283364,0.24646772884623583,0.25503929080830035,-0.11704456512156745,-0.10727362691773848,0.17594406297289172,0.17903413539257482,-0.30914261497337847,-0.3144710735314219,-0.31547215105690496,0.19426510084060697,0.19680131268680337,0.2542072600312718,0.2803986594957162,0.2492143630421672,-0.11261548544203508,0.17841772064344788,-0.31505271300006765,0.19640967853686528,0.2723121470125585,0.10328432079404125,0.10205090272984765,0.9962941329769225,0.9256430827296614,-0.13888545684061027,-0.13372331031151788,-0.2726791182845504,-0.3065991528392228,0.12566578432182235,0.1189205047057261,0.22882542650346452,0.17666290159540446,0.18552390891621887,0.13546247379416448,0.1772320065788131,0.25963983141760333,0.2655263025500077,0.16354927539371777,0.24503002121221418,0.16239903845519277,0.19292661339872755,0.2075483649149994,0.26033721587904024,0.1843504401270294,0.22213266105429064,0.1426578197589558,0.18859117966549876,0.24402710853530046
wind_speed,-0.3380764426750479,0.0993630690462831,0.09627056267817614,0.0947665556856205,-0.0672083820286267,0.08541905214073343,0.15010230036831093,0.1501562225929905,0.2514925684398369,0.0831867190091828,-0.31692947099586377,0.2460785585594076,1.0,0.03643485800791806,-0.1633766595692786,-0.11130744975829378,0.9999999980656273,0.9997041450662875,0.9476292114700218,0.08576770412599556,0.09720819604667467,-0.06703514597278278,-0.05304093765154665,-0.3169501865750696,-0.31548015991614764,-0.3136497590848,0.25165664740879007,0.2470406991281298,0.08348835216407467,0.10039859970399498,0.9971271115705483,0.09216975573893035,-0.05865934968115682,-0.3157575267877429,0.24933367666483605,0.09384357759646418,0.1415307300870148,0.1416722185008009,0.24603052415544027,0.23271911909067566,-0.16405557932878923,-0.16823079623041612,-0.11178082232308317,-0.13891796174048873,0.03691833191202861,0.035859087887898905,0.13176976341848934,0.08193777572075701,0.07668653062749826,0.061496742678031555,0.07427750012504997,0.0895125812130211,0.14154141421588504,0.08583380132691858,0.10889903149338839,0.07280459717825598,0.08200679222919964,0.08959063770530117,0.14007433356484952,0.09216037266956745,0.0908083307649728,0.06716423754985826,0.08102997662547347,0.09175917101993003
wind_direction_deg,-0.1517566345107874,0.10328543699217388,0.10455066910366564,0.10531993439010842,-0.05860941612600022,0.034910153456142054,0.16663773030443754,0.16675222489095384,0.6863951854632727,0.2858843457243405,-0.20585049082150267,0.12538719316603708,0.03643485800791806,1.0,-0.7076716457306691,-0.21188351832056063,0.03643456147808408,0.036359217876434854,0.03913834943792613,0.035084572844830436,0.044658935060315194,-0.05858540337405247,-0.052109590091986006,-0.20584391021711113,-0.2044355890466505,-0.1977466690765191,0.6864125348770346,0.6739168949081153,0.28683266252986944,0.3263798939447775,0.03699995401250396,0.040176034653799014,-0.05481925041879437,-0.20339492855086724,0.6837794084279233,0.3127745892840428,0.16036878030033494,0.16052294536416978,0.1246695771604677,0.12015948785757362,-0.7077117219937054,-0.6901001547753806,-0.21381261453198327,-0.27812547230760554,0.994968525160525,0.8165614762503569,0.11153471889335412,0.07177346021217004,0.06821668404700866,0.06716400463806022,0.09351595658668242,0.0940512827095381,0.12110831620929424,0.0625578903239573,0.09993215909410108,0.07900021588550434,0.09376982379054999,0.081945788415416,0.12293299142642772,0.07700110229279941,0.08712127765363982,0.07360188943363834,0.09650324824832938,0.0921904201652899
wind_dir_sin,0.22945458101477942,-0.07751948483962663,-0.0800517080874681,-0.0801905803251264,0.09905071246988467,0.03263779004336703,-0.13914116849942088,-0.1387865250013015,-0.9146064976427638,-0.3895388777173811,0.2572193908275359,-0.1387451005550107,-0.1633766595692786,-0.7076716457306691,1.0,0.27765617112627006,-0.16337622133670623,-0.16322127923295804,-0.16163922597773742,0.03231982883687374,0.01336830216391719,0.0989457702012484,0.08825954633616605,0.2571895434644594,0.2549545849915334,0.2436133127150453,-0.9145222084741449,-0.8932221664747118,-0.39083160207966955,-0.4439243368548695,-0.16398610333002622,0.021809970087711707,0.09261099634641248,0.25279422567346027,-0.9082753303019535,-0.42582208309255404,-0.1379813790282183,-0.13751514150321348,-0.1384185622406508,-0.13862295487842852,0.9996576263827781,0.9534684048482531,0.2796310066457899,0.35733281892872965,-0.7073927465281789,-0.6718283869427792,-0.09026912402910697,-0.05654336611396278,-0.05325064886033743,-0.05088376653407439,-0.08379042476874186,-0.07949195875534462,-0.10011140649794915,-0.03609632394158318,-0.08051589274540646,-0.0614653315731202,-0.08132641272527441,-0.05713760429976147,-0.10101174297643734,-0.057816497911292494,-0.06774610380802437,-0.05637370256465937,-0.08487901346157427,-0.07544714324360562
wind_dir_cos,0.1416679739528239,-0.23899476664923705,-0.2375295292626696,-0.2380814609244681,-0.24146810790788864,-0.28416630788047575,-0.20780518871662593,-0.2083983735833172,-0.37297820251472036,-0.871954756058223,0.25839145662564295,-0.27140448462070516,-0.11130744975829378,-0.21188351832056063,0.27765617112627006,1.0,-0.11130721589562696,-0.11090752092387005,-0.09179497161564264,-0.2839388875877118,-0.26228354470126347,-0.24161855151386535,-0.24861409774038215,0.2580992757205088,0.24493800260872872,0.22127397090223325,-0.3720949272349505,-0.33251000893277033,-0.8717649290677476,-0.8394707447451593,-0.10795405093676452,-0.2702023025285129,-0.24638275992180841,0.24070818199616095,-0.35064803098418273,-0.8591309564944594,-0.13950669871408977,-0.13993321633833994,-0.2700806390239674,-0.2328056356684538,0.2765605763994494,0.22861958024485796,0.999450006333133,0.9445200428029884,-0.21051282380918349,-0.15717584546391594,-0.21475564413619727,-0.1621372986059494,-0.14963861739088322,-0.14168013209329852,-0.20038685128314432,-0.1989153552762165,-0.24763357303192637,-0.21161336741170142,-0.24776126128952847,-0.1740712275597938,-0.22506561928324512,-0.21208063008784886,-0.24331095849308057,-0.19063878060962955,-0.19052409757229674,-0.16097496833438332,-0.21513914854740168,-0.2058628303295164
wind_speed_ma3,-0.3380766131896438,0.0993625460467506,0.09627017540013616,0.0947662612467688,-0.06720876100135606,0.08541856465835722,0.15010202844596732,0.15015596284186963,0.25149190687520373,0.08318614307148993,-0.31692969128287507,0.24607885073283364,0.9999999980656273,0.03643456147808408,-0.16337622133670623,-0.11130721589562696,1.0,0.9997041506451783,0.9476292373395193,0.0857672154686589,0.09720770901786012,-0.06703552851623593,-0.05304132932305408,-0.31695040645222095,-0.31548038589046273,-0.3136499931495526,0.2516559845818236,0.24704003893809637,0.08348777200175371,0.10039800627012567,0.9971271216991233,0.09216926821884654,-0.058659738209201596,-0.31575775383921717,0.2493330143459896,0.0938429876690047,0.14153039850991025,0.14167189783289774,0.2460308163112268,0.23271942079616031,-0.16405514143060046,-0.16823034536524512,-0.11178058636065623,-0.13891768351193298,0.036918034892118076,0.035858773812590276,0.13177010679570444,0.08193760181271892,0.07668650237611253,0.06149632454550101,0.07427723005943503,0.08951269774307476,0.14154143677956554,0.08583349753531838,0.10889874503447763,0.07280444376653637,0.08200664564225395,0.08959061043286307,0.14007467458076775,0.09216012152265877,0.09080827198346766,0.06716388309658326,0.08102980465535865,0.09175929455335284
wind_speed_ma6,-0.33896043062991854,0.09908291692404196,0.09597000710085633,0.09450270490527417,-0.06738197880441807,0.08492455114008324,0.15023860599642108,0.15029020666105602,0.2513179372062932,0.08294455869119136,-0.31731566422112706,0.24646772884623583,0.9997041450662875,0.036359217876434854,-0.16322127923295804,-0.11090752092387005,0.9997041506451783,1.0,0.9502045755883477,0.08530223789142354,0.09709979027386265,-0.0672648099968985,-0.05345473031282078,-0.3173507995486048,-0.3159287666815711,-0.31409751208155057,0.25155378568350173,0.2473022007150059,0.08322556733463767,0.10019493165969705,0.9979205379866635,0.09190182266421276,-0.05899232328103059,-0.3161954311932481,0.24943249096446332,0.09360400700051116,0.14219273032787133,0.14233376616291105,0.24647812165792174,0.23332332024684466,-0.1639262068717703,-0.16837944629106985,-0.11137064486417857,-0.13879806973560047,0.03680679122928846,0.03558947077359558,0.13168319498038283,0.08184439528107847,0.07663403353858557,0.06129904198752988,0.07403601698054577,0.08927781747420602,0.14140232875087527,0.08555852499105356,0.10874996271909793,0.07254854886613836,0.08174376984200245,0.08945578248047546,0.13984364043518152,0.09192720912292729,0.0906921756818482,0.0668494858182558,0.08076737802982642,0.0915106116271363
wind_speed_ma24,-0.3759841715899191,0.08666238219431047,0.08330265794535802,0.08233597398421075,-0.0682668733639496,0.06889197560530919,0.14939653429003863,0.1492898259113893,0.24265763281007532,0.0713685314755114,-0.3268573771349287,0.25503929080830035,0.9476292114700218,0.03913834943792613,-0.16163922597773742,-0.09179497161564264,0.9476292373395193,0.9502045755883477,1.0,0.06941699438008503,0.08730715491651685,-0.06836249967165071,-0.06327197787019372,-0.32699040819830494,-0.32821135896800696,-0.32679988512305397,0.24317928262851565,0.25219973898264425,0.0716127555986501,0.08765654722949956,0.9664893598683952,0.07988650376368778,-0.06492671032659919,-0.32826917548777085,0.24881211522500304,0.08173887393091879,0.15599538594920867,0.15597052530271086,0.2556225021938035,0.24798501279668075,-0.16241643845000797,-0.17441313000364614,-0.09215835814573949,-0.11949182254883574,0.03924196715597756,0.033244107119531,0.12167482428789421,0.0718472261347612,0.06797412812642135,0.051241191870662214,0.05951168100604877,0.07331327095678407,0.12873178779415864,0.0709601870673422,0.0925585978552916,0.059981426925487774,0.06620452741799604,0.07509857319898561,0.12583564240992742,0.07796919728164103,0.07889861070677705,0.054531424043679,0.0651076354632042,0.07590220164530642
t2m_ma6,-0.1471473653617698,0.2331582773629521,0.22297082754801448,0.21734030334323418,0.507298606576005,0.9999594328224815,0.5261120654832667,0.5289775514766817,0.00734439361274668,0.2239195675456564,-0.15358581017829895,-0.11704456512156745,0.08576770412599556,0.035084572844830436,0.03231982883687374,-0.2839388875877118,0.0857672154686589,0.08530223789142354,0.06941699438008503,1.0,0.989300271749661,0.5076020404694008,0.5207588466159682,-0.15334043393389654,-0.14319238353418606,-0.12073349052921496,0.006972023460467659,-0.012077903383120083,0.22414917705314027,0.22591397669679592,0.08316441463523119,0.9960871445989383,0.5178414647260248,-0.1385008124272097,-0.005248808286804232,0.22701425390901162,0.4915999441580497,0.49516742987569645,-0.11913958507297809,-0.1597087516637552,0.03286010898521692,0.059969359774370005,-0.2845562196151223,-0.2859139361746271,0.03437508253422918,0.01431765304792514,0.17147113888146187,0.05758664240844701,0.055131731664260324,0.11558010324590172,0.1816252891888528,0.04796346155222527,0.19362094831890603,0.2452355422588395,0.17770181076081532,0.15108681534058055,0.21039869797128974,0.21623642658224349,0.2016827159046365,0.13853207137718437,0.10279187483925069,0.15580138240083302,0.19987080424036285,0.12252006316384383
